A,B,Note,Source,Text
Ron Wiebe,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Ron Wiebe, <i>Member</i>:<br>United Conservative Party of Alberta"
Samantha Steinke,United Conservative Party of Alberta,"VP, Communications",https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Samantha Steinke, <i>VP, Communications</i>:<br>United Conservative Party of Alberta"
Scott Cyr,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Scott Cyr, <i>Member</i>:<br>United Conservative Party of Alberta"
Searle Turton,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Searle Turton, <i>Member</i>:<br>United Conservative Party of Alberta"
Shane Getson,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Shane Getson, <i>Member</i>:<br>United Conservative Party of Alberta"
Tany Yao,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Tany Yao, <i>Member</i>:<br>United Conservative Party of Alberta"
Tanya Fir,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Tanya Fir, <i>Member</i>:<br>United Conservative Party of Alberta"
Tara Sawyer,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Tara Sawyer, <i>Member</i>:<br>United Conservative Party of Alberta"
Todd Loewen,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Todd Loewen, <i>Member</i>:<br>United Conservative Party of Alberta"
Vicki Kozmak-LeFrense,United Conservative Party of Alberta,Officer,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Vicki Kozmak-LeFrense, <i>Officer</i>:<br>United Conservative Party of Alberta"
Stacy Vanderveen,United Conservative Party of Alberta,Officer,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Stacy Vanderveen, <i>Officer</i>:<br>United Conservative Party of Alberta"
Ed Vanderveen,United Conservative Party of Alberta,Officer,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Ed Vanderveen, <i>Officer</i>:<br>United Conservative Party of Alberta"
Ric McIver,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Ric McIver, <i>Member</i>:<br>United Conservative Party of Alberta"
Alberta Prosperity Project,Vicki Kozmak-LeFrense,Endorsed,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Alberta Prosperity Project, <i>Endorsed</i>:<br>Vicki Kozmak-LeFrense"
Cory Morgan,Western Standard,Writer,https://www.westernstandard.news/author/cory-morgan,"Cory Morgan, <i>Writer</i>:<br>Western Standard"
Derek Fildebrandt,Western Standard,CEO and president,https://www.westernstandard.news/author/derek-fildebrandt,"Derek Fildebrandt, <i>CEO and president</i>:<br>Western Standard"
Bruce Hutton,Wildrose Independence Party,Former leader,https://en.wikipedia.org/wiki/Bruce_Hutton,"Bruce Hutton, <i>Former leader</i>:<br>Wildrose Independence Party"
Cory Morgan,Wildrose Independence Party,Former member,https://separationalberta.com/candidates/cmorgan.asp,"Cory Morgan, <i>Former member</i>:<br>Wildrose Independence Party"
Derek Fildebrandt,Wildrose Independence Party,Former leader,https://daveberta.ca/2020/07/paul-hinman-is-back-again-maybe-former-wildrose-leader-to-lead-new-wildrose-separatist-party/,"Derek Fildebrandt, <i>Former leader</i>:<br>Wildrose Independence Party"
Jeevan Singh Mangat,Wildrose Independence Party,Interim leader,https://wipalberta.com/about-us/,"Jeevan Singh Mangat, <i>Interim leader</i>:<br>Wildrose Independence Party"
John Reil,Wildrose Independence Party,Former leader,https://en.wikipedia.org/wiki/John_Reil,"John Reil, <i>Former leader</i>:<br>Wildrose Independence Party"
Paul Hinman,Wildrose Independence Party,Former leader,https://www.ctvnews.ca/edmonton/article/paul-hinman-fighting-claim-hes-been-removed-as-wildrose-independence-leader/,"Paul Hinman, <i>Former leader</i>:<br>Wildrose Independence Party"
Rob Anders,Wildrose Independence Party,Board of Governors,https://wipalberta.com/board-of-governors/,"Rob Anders, <i>Board of Governors</i>:<br>Wildrose Independence Party"
Paul Hinman,Wildrose Loyalty Coalition,Leader,https://westwindweekly.com/news/2023/10/05/paul-hinman-calling-it-quits-after-long-political-career/,"Paul Hinman, <i>Leader</i>:<br>Wildrose Loyalty Coalition"
Cam Davies,U.S. Republican Party,Meetings,https://www.msn.com/en-ca/politics/government/another-alberta-separatist-leader-is-courting-u-s-conservatives-in-washington-and-mar-a-lago/ar-AA1Qh5Tc,"Cam Davies, <i>Meetings</i>:<br>U.S. Republican Party"
Dennis Modry,U.S. Republican Party,Meetings,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63477,"Dennis Modry, <i>Meetings</i>:<br>U.S. Republican Party"
Jeff Rath,U.S. Republican Party,Meetings,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63478,"Jeff Rath, <i>Meetings</i>:<br>U.S. Republican Party"
Mitch Sylvestre,U.S. Republican Party,Meetings,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63479,"Mitch Sylvestre, <i>Meetings</i>:<br>U.S. Republican Party"
Rob Anders,U.S. Republican Party,Meetings,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63480,"Rob Anders, <i>Meetings</i>:<br>U.S. Republican Party"
LaVar Payne,U.S. Republican Party,Meetings,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63481,"LaVar Payne, <i>Meetings</i>:<br>U.S. Republican Party"
Vince Byfield,United Conservative Party of Alberta,Board member,https://pressprogress.ca/who-is-take-back-alberta-and-what-do-they-really-want/,"Vince Byfield, <i>Board member</i>:<br>United Conservative Party of Alberta"
Vince Byfield,Take Back Alberta,Regional captain,https://pressprogress.ca/who-is-take-back-alberta-and-what-do-they-really-want/,"Vince Byfield, <i>Regional captain</i>:<br>Take Back Alberta"
Roy Beyer,Take Back Alberta,Regional captain,https://pressprogress.ca/who-is-take-back-alberta-and-what-do-they-really-want/,"Roy Beyer, <i>Regional captain</i>:<br>Take Back Alberta"
Jarrad McCoy,Take Back Alberta,Regional captain,https://pressprogress.ca/who-is-take-back-alberta-and-what-do-they-really-want/,"Jarrad McCoy, <i>Regional captain</i>:<br>Take Back Alberta"
Elbert Van Hierden,Take Back Alberta,Hosted rally,https://www.theglobeandmail.com/canada/alberta/article-take-back-alberta-ucp/,"Elbert Van Hierden, <i>Hosted rally</i>:<br>Take Back Alberta"
Elbert Van Hierden,United Conservative Party of Alberta,Board member,https://www.theglobeandmail.com/canada/alberta/article-take-back-alberta-ucp/,"Elbert Van Hierden, <i>Board member</i>:<br>United Conservative Party of Alberta"
Bob Lefurgy,Wildrose Independence Party,Regional director,https://albertasecession.com/,"Bob Lefurgy, <i>Regional director</i>:<br>Wildrose Independence Party"
Marc Chayer,Wildrose Independence Party,Const. assos. president,https://web.archive.org/web/20230119013718/https://www.thestar.com/news/canada/2021/05/25/a-new-political-party-with-a-familiar-name-wants-to-bring-real-change-to-alberta.html,"Marc Chayer, <i>Const. assos. president</i>:<br>Wildrose Independence Party"
